"id","country_id","code","fc_name","name","sequence","timestamp"
"1525","15","AZ-SAT","saatlı","Saatlı","54","2016-06-08 00:09:20"
"1725","156","NL-BQ2","saba","Saba","17","2016-06-08 00:09:21"
"4146","27","BQ-SA","saba","Saba","2","2016-06-08 00:09:30"
"1105","134","MY-12","sabah","Sabah","13","2016-06-08 00:09:19"
"3032","209","LK-9","sabaragamuwa province","Sabaragamuwa Province","9","2016-06-08 00:09:26"
"859","126","LY-SB","sabhā","Sabhā","61","2016-06-08 00:09:17"
"816","126","LY-SB","sabhā","Sabhā","18","2016-06-08 00:09:17"
"1526","15","AZ-SAB","sabirabad","Sabirabad","55","2016-06-08 00:09:20"
"5345","90","GT-SA","sacatepéquez","Sacatepéquez","16","2016-06-08 00:09:36"
"5232","82","DE-SN","sachsen","Sachsen","13","2016-06-08 00:09:36"
"5233","82","DE-ST","sachsen-anhalt","Sachsen-Anhalt","14","2016-06-08 00:09:36"
"1604","150","MA-SAF","safi","Safi","55","2016-06-08 00:09:20"
"459","111","JP-41","saga","Saga","33","2016-06-08 00:09:16"
"1651","152","MM-01","sagaing","Sagaing","5","2016-06-08 00:09:21"
"1707","155","NP-SA","sagarmatha","Sagarmatha","18","2016-06-08 00:09:21"
"4976","68","ER-SA","sahel","Sahel","13","2016-06-08 00:09:35"
"4304","35","BF-12","sahel","Sahel","12","2016-06-08 00:09:31"
"418","110","JM-02","saint andrew","Saint Andrew","6","2016-06-08 00:09:16"
"2494","190","VC-02","saint andrew","Saint Andrew","3","2016-06-08 00:09:24"
"5315","87","GD-01","saint andrew","Saint Andrew","1","2016-06-08 00:09:36"
